Date,SecurityInBan
2008-01-01,PARSVNATH
2008-01-01,ARVINDMILL
2008-01-01,ADLABSFILM
2008-01-02,RAJESHEXPO
2008-01-02,ESSAROIL
2008-01-02,ARVINDMILL
2008-01-02,PARSVNATH
2008-01-02,HINDOILEXP
2008-01-03,ARVINDMILL
2008-01-03,BONGAIREFN
2008-01-03,ESSAROIL
2008-01-03,APTECHT
2008-01-03,PARSVNATH
2008-01-03,RAJESHEXPO
2008-01-03,HINDOILEXP
2008-01-04,ESSAROIL
2008-01-04,BONGAIREFN
2008-01-04,ARVINDMILL
2008-01-04,APTECHT
2008-01-04,HINDOILEXP
2008-01-04,IVRPRIME
2008-01-04,JPHYDRO
2008-01-04,PARSVNATH
2008-01-04,RAJESHEXPO
2008-01-07,HINDOILEXP
2008-01-07,TTML
2008-01-07,NAGARFERT
2008-01-07,JPHYDRO
2008-01-07,IVRPRIME
2008-01-07,HOTELEELA
2008-01-07,ESSAROIL
2008-01-07,RAJESHEXPO
2008-01-07,ARVINDMILL
2008-01-07,APTECHT
2008-01-07,BONGAIREFN
2008-01-08,BONGAIREFN
2008-01-08,GMRINFRA
2008-01-08,HOTELEELA
2008-01-08,HINDOILEXP
2008-01-08,ADLABSFILM
2008-01-08,APTECHT
2008-01-08,IFCI
2008-01-08,ARVINDMILL
2008-01-08,TTML
2008-01-08,NAGARFERT
2008-01-08,PARSVNATH
2008-01-08,ISPATIND
2008-01-08,SRF
2008-01-08,RAJESHEXPO
2008-01-08,IVRPRIME
2008-01-08,JPHYDRO
2008-01-09,IVRPRIME
2008-01-09,BINDALAGRO
2008-01-09,ARVINDMILL
2008-01-09,TTML
2008-01-09,SRF
2008-01-09,BONGAIREFN
2008-01-09,NAGARFERT
2008-01-09,IFCI
2008-01-09,ISPATIND
2008-01-09,RPL
2008-01-09,PARSVNATH
2008-01-09,GMRINFRA
2008-01-09,HOTELEELA
2008-01-09,HINDOILEXP
2008-01-09,APTECHT
2008-01-09,ADLABSFILM
2008-01-09,RAJESHEXPO
2008-01-10,RPL
2008-01-10,SRF
2008-01-10,HOTELEELA
2008-01-10,IFCI
2008-01-10,ADLABSFILM
2008-01-10,APTECHT
2008-01-10,ARVINDMILL
2008-01-10,GMRINFRA
2008-01-10,RAJESHEXPO
2008-01-10,TTML
2008-01-10,IVRPRIME
2008-01-10,ISPATIND
2008-01-10,NAGARFERT
2008-01-10,PARSVNATH
2008-01-10,HINDOILEXP
2008-01-10,BONGAIREFN
2008-01-10,BINDALAGRO
2008-01-11,RPL
2008-01-11,RNRL
2008-01-11,BINDALAGRO
2008-01-11,IVRPRIME
2008-01-11,GMRINFRA
2008-01-11,PARSVNATH
2008-01-11,ADLABSFILM
2008-01-11,HINDOILEXP
2008-01-11,ARVINDMILL
2008-01-11,IFCI
2008-01-11,HOTELEELA
2008-01-11,APTECHT
2008-01-11,JPHYDRO
2008-01-11,ISPATIND
2008-01-11,NAGARFERT
2008-01-11,SRF
2008-01-14,GMRINFRA
2008-01-14,IFCI
2008-01-14,ARVINDMILL
2008-01-14,BINDALAGRO
2008-01-14,ISPATIND
2008-01-14,ADLABSFILM
2008-01-14,IVRPRIME
2008-01-14,SRF
2008-01-14,RPL
2008-01-14,RNRL
2008-01-14,PARSVNATH
2008-01-14,NAGARFERT
2008-01-14,JPHYDRO
2008-01-14,ESSAROIL
2008-01-15,PARSVNATH
2008-01-15,ADLABSFILM
2008-01-15,ARVINDMILL
2008-01-15,BINDALAGRO
2008-01-15,SRF
2008-01-15,RPL
2008-01-15,ESSAROIL
2008-01-15,GMRINFRA
2008-01-15,NAGARFERT
2008-01-15,RNRL
2008-01-15,IFCI
2008-01-15,ISPATIND
2008-01-15,IVRPRIME
2008-01-15,JPHYDRO
2008-01-16,ADLABSFILM
2008-01-16,BINDALAGRO
2008-01-16,ESSAROIL
2008-01-16,GMRINFRA
2008-01-16,NAGARFERT
2008-01-16,JPHYDRO
2008-01-16,IFCI
2008-01-16,ISPATIND
2008-01-16,RPL
2008-01-16,RAJESHEXPO
2008-01-16,SRF
2008-01-16,IVRPRIME
2008-01-16,PARSVNATH
2008-01-17,JPHYDRO
2008-01-17,BINDALAGRO
2008-01-17,GMRINFRA
2008-01-17,ESSAROIL
2008-01-17,ADLABSFILM
2008-01-17,IVRPRIME
2008-01-17,ORCHIDCHEM
2008-01-17,PARSVNATH
2008-01-17,RAJESHEXPO
2008-01-17,ISPATIND
2008-01-17,IFCI
2008-01-17,RPL
2008-01-18,PARSVNATH
2008-01-18,ADLABSFILM
2008-01-18,BINDALAGRO
2008-01-18,GMRINFRA
2008-01-18,IFCI
2008-01-18,RAJESHEXPO
2008-01-18,ESSAROIL
2008-01-18,ISPATIND
2008-01-18,IVRPRIME
2008-01-18,ORCHIDCHEM
2008-01-18,RPL
2008-01-21,ADLABSFILM
2008-01-21,PARSVNATH
2008-01-21,BINDALAGRO
2008-01-21,RAJESHEXPO
2008-01-21,IVRPRIME
2008-01-21,ESSAROIL
2008-01-21,ORCHIDCHEM
2008-01-22,RAJESHEXPO
2008-01-23,RAJESHEXPO
2008-01-24,RAJESHEXPO
2008-01-25,RAJESHEXPO
2008-01-28,RAJESHEXPO
2008-01-29,RAJESHEXPO
2008-01-30,RAJESHEXPO
2008-01-31,RAJESHEXPO
2008-09-24,AKRUTI
2009-01-20,AKRUTI
2009-01-21,AKRUTI
2009-01-22,AKRUTI
2009-01-23,AKRUTI
2009-01-27,AKRUTI
2009-01-28,AKRUTI
2009-01-29,AKRUTI
2009-02-06,AKRUTI
2009-02-09,AKRUTI
2009-02-10,AKRUTI
2009-02-11,AKRUTI
2009-02-12,AKRUTI
2009-02-13,AKRUTI
2009-02-16,AKRUTI
2009-02-17,AKRUTI
2009-02-18,AKRUTI
2009-02-18,EDUCOMP
2009-02-19,AKRUTI
2009-02-19,EDUCOMP
2009-02-20,AKRUTI
2009-02-20,EDUCOMP
2009-02-24,AKRUTI
2009-02-25,AKRUTI
2009-02-26,AKRUTI
2009-03-05,AKRUTI
2009-03-06,AKRUTI
2009-03-09,AKRUTI
2009-03-12,AKRUTI
2009-03-13,AKRUTI
2009-03-16,AKRUTI
2009-03-17,AKRUTI
2009-03-18,AKRUTI
2009-03-19,AKRUTI
2009-03-20,AKRUTI
2009-03-23,AKRUTI
2009-03-24,AKRUTI
2009-03-25,AKRUTI
2009-03-26,AKRUTI
2009-04-16,UNITECH
2009-04-20,UNITECH
2009-04-21,ALOKTEXT
2009-04-21,UNITECH
2009-04-22,UNITECH
2009-04-22,ALOKTEXT
2009-04-23,UNITECH
2009-04-23,ALOKTEXT
2009-04-24,ALOKTEXT
2009-04-24,UNITECH
2009-04-27,UNITECH
2009-04-27,ALOKTEXT
2009-04-28,ALOKTEXT
2009-04-28,UNITECH
2009-04-29,UNITECH
2009-04-29,ALOKTEXT
2009-05-08,ALOKTEXT
2009-05-11,ALOKTEXT
2009-05-12,ALOKTEXT
2009-05-13,ALOKTEXT
2009-05-14,ALOKTEXT
2009-05-15,ALOKTEXT
2009-05-18,ALOKTEXT
2009-05-19,ALOKTEXT
2009-06-10,ALOKTEXT
2009-06-11,ALOKTEXT
2009-06-15,DISHTV
2009-06-16,DISHTV
2009-06-17,DISHTV
2009-06-25,ESSAROIL
2009-07-01,BAJAJHIND
2009-07-02,BAJAJHIND
2009-07-03,BAJAJHIND
2009-07-06,BAJAJHIND
2009-07-07,BAJAJHIND
2009-07-08,BAJAJHIND
2009-07-09,BAJAJHIND
2009-07-10,BAJAJHIND
2009-07-27,SUZLON
2009-07-27,ABAN
2009-07-28,SUZLON
2009-07-28,ABAN
2009-07-30,ABAN
2009-08-24,ABAN
2009-08-25,ABAN
2009-08-26,ABAN
2009-09-17,ABAN
2009-09-18,KFA
2009-09-22,KFA
2009-10-07,ISPATIND
2009-10-07,KFA
2009-10-08,ISPATIND
2009-10-08,KFA
2009-10-09,ISPATIND
2009-10-12,ISPATIND
2009-10-14,ISPATIND
2009-10-14,ABAN
2009-10-15,ABAN
2009-10-15,ISPATIND
2009-10-16,ISPATIND
2009-10-16,ABAN
2009-10-20,ABAN
2009-10-22,KFA
2009-10-23,KFA
2009-10-23,ABAN
2009-10-26,ABAN
2009-10-26,KFA
2009-10-27,KFA
2009-10-29,BALRAMCHIN
2009-12-02,KFA
2009-12-03,KFA
2009-12-10,KFA
2009-12-11,KFA
2009-12-14,KFA
2009-12-15,KFA
2009-12-16,KFA
2009-12-17,IFCI
2009-12-18,IFCI
2009-12-21,IFCI
2009-12-22,IFCI
2009-12-23,IFCI
2009-12-23,ABAN
2009-12-24,ABAN
2009-12-29,ABAN
2009-12-30,KFA
2009-12-30,ABAN
2009-12-31,KFA
2010-01-14,IFCI
2010-01-15,IFCI
2010-01-18,IFCI
2010-01-19,IFCI
2010-01-20,IFCI
2010-01-21,IFCI
2010-01-22,ISPATIND
2010-01-25,ABAN
2010-01-25,ISPATIND
2010-01-27,ISPATIND
2010-01-27,ABAN
2010-01-28,BAJAJHIND
2010-03-16,BALRAMCHIN
2010-03-17,BALRAMCHIN
2010-03-18,ESSAROIL
2010-03-18,BALRAMCHIN
2010-03-19,ESSAROIL
2010-03-19,BALRAMCHIN
2010-03-22,ESSAROIL
2010-03-22,BALRAMCHIN
2010-03-22,IFCI
2010-03-23,ESSAROIL
2010-03-23,BALRAMCHIN
2010-03-23,IFCI
2010-03-23,KFA
2010-03-25,IFCI
2010-03-25,KFA
2010-03-25,ESSAROIL
2010-03-26,KFA
2010-04-05,KFA
2010-04-06,KFA
2010-04-07,KFA
2010-04-08,KFA
2010-04-09,KFA
2010-04-12,KFA
2010-04-13,ESSAROIL
2010-04-15,ESSAROIL
2010-04-16,ESSAROIL
2010-04-21,IFCI
2010-04-21,FORTIS
2010-04-22,IFCI
2010-04-22,FORTIS
2010-04-23,IFCI
2010-04-23,FORTIS
2010-04-26,ISPATIND
2010-04-26,IFCI
2010-04-27,IFCI
2010-04-27,ISPATIND
2010-04-28,ISPATIND
2010-04-28,KFA
2010-04-28,IFCI
2010-04-29,KFA
2010-05-06,BALRAMCHIN
2010-05-07,BALRAMCHIN
2010-05-10,BALRAMCHIN
2010-05-11,BALRAMCHIN
2010-05-12,BALRAMCHIN
2010-05-12,RENUKA
2010-05-13,RENUKA
2010-05-13,BALRAMCHIN
2010-05-14,BALRAMCHIN
2010-05-14,RENUKA
2010-05-17,BALRAMCHIN
2010-05-17,RENUKA
2010-05-17,ABAN
2010-05-18,RENUKA
2010-05-18,BALRAMCHIN
2010-05-18,ABAN
2010-05-19,ABAN
2010-05-19,BALRAMCHIN
2010-05-19,FORTIS
2010-05-19,RENUKA
2010-05-20,FORTIS
2010-05-20,BALRAMCHIN
2010-05-20,ABAN
2010-05-21,ABAN
2010-05-21,FORTIS
2010-05-21,BALRAMCHIN
2010-05-24,FORTIS
2010-05-24,BALRAMCHIN
2010-05-24,ABAN
2010-05-25,KFA
2010-05-25,ABAN
2010-05-25,FORTIS
2010-05-26,ABAN
2010-05-26,KFA
2010-05-27,KFA
2010-06-02,IFCI
2010-06-03,IFCI
2010-06-04,IFCI
2010-06-07,IFCI
2010-06-08,IFCI
2010-06-09,IFCI
2010-06-11,ABAN
2010-06-11,FORTIS
2010-06-14,ABAN
2010-06-15,ABAN
2010-06-16,IFCI
2010-06-16,ABAN
2010-06-17,IFCI
2010-06-18,IFCI
2010-06-21,IFCI
2010-07-14,KFA
2010-07-15,KFA
2010-07-16,KFA
2010-07-19,KFA
2010-07-19,ICSA
2010-07-20,ICSA
2010-07-20,KFA
2010-07-20,IFCI
2010-07-21,KFA
2010-07-21,ICSA
2010-07-21,ESSAROIL
2010-07-21,IFCI
2010-07-22,ICSA
2010-07-22,KFA
2010-07-22,IFCI
2010-07-22,ESSAROIL
2010-07-23,KFA
2010-07-23,IFCI
2010-07-23,ICSA
2010-07-23,ESSAROIL
2010-07-26,ESSAROIL
2010-07-26,ICSA
2010-07-26,KFA
2010-07-27,ESSAROIL
2010-07-27,ICSA
2010-07-28,ICSA
2010-07-28,ESSAROIL
2010-07-28,EKC
2010-07-29,ABAN
2010-07-29,ICSA
2010-07-29,SUZLON
2010-07-29,ESSAROIL
2010-07-29,EKC
2010-08-04,KFA
2010-08-05,KFA
2010-08-06,KFA
2010-08-09,IFCI
2010-08-09,KFA
2010-08-10,IFCI
2010-08-10,KFA
2010-08-10,ABAN
2010-08-11,IFCI
2010-08-11,KFA
2010-08-12,KFA
2010-08-12,IFCI
2010-08-13,ABAN
2010-08-13,IFCI
2010-08-13,KFA
2010-08-16,IFCI
2010-08-16,KFA
2010-08-16,ABAN
2010-08-17,KFA
2010-08-17,ABAN
2010-08-18,ABAN
2010-08-18,KFA
2010-08-19,KFA
2010-08-19,ABAN
2010-08-19,SUZLON
2010-08-20,ABAN
2010-08-20,ICSA
2010-08-20,SUZLON
2010-08-23,SUZLON
2010-08-23,ICSA
2010-08-24,ICSA
2010-08-24,ISPATIND
2010-08-24,SUZLON
2010-08-25,ISPATIND
2010-08-25,ICSA
2010-08-25,SUZLON
2010-08-26,ICSA
2010-08-26,ISPATIND
2010-09-01,KFA
